host,ip,mode,proto,http_code,http_version,remote_ip,time_appconnect,time_starttransfer,time_total,exit_code
api.openai.com,162.159.140.245,direct_verified,h1,000,0,,0.000000,0.000000,0.019844,35
api.openai.com,162.159.140.245,direct_verified,h1,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,162.159.140.245,direct_insecure_host,h1,000,0,,0.000000,0.000000,0.019816,35
api.openai.com,162.159.140.245,direct_insecure_host,h1,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,162.159.140.245,resolve_pin,h1,401,1.1,162.159.140.245,0.113264,0.179366,0.179420,0
api.openai.com,162.159.140.245,direct_verified,h2,000,0,,0.000000,0.000000,0.021612,35
api.openai.com,162.159.140.245,direct_verified,h2,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,162.159.140.245,direct_insecure_host,h2,000,0,,0.000000,0.000000,0.019700,35
api.openai.com,162.159.140.245,direct_insecure_host,h2,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,162.159.140.245,resolve_pin,h2,401,2,162.159.140.245,0.022117,0.057214,0.057272,0
api.openai.com,162.159.140.245,direct_verified,h3,000,0,,0.000000,0.000000,0.014197,7
api.openai.com,162.159.140.245,direct_verified,h3,ERR,ERR,ERR,ERR,ERR,ERR,7
api.openai.com,162.159.140.245,direct_insecure_host,h3,000,0,,0.000000,0.000000,0.012081,7
api.openai.com,162.159.140.245,direct_insecure_host,h3,ERR,ERR,ERR,ERR,ERR,ERR,7
api.openai.com,162.159.140.245,resolve_pin,h3,401,3,162.159.140.245,0.012850,0.056091,0.056150,0
api.openai.com,172.66.0.243,direct_verified,h1,000,0,,0.000000,0.000000,0.019836,35
api.openai.com,172.66.0.243,direct_verified,h1,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,172.66.0.243,direct_insecure_host,h1,000,0,,0.000000,0.000000,0.103527,35
api.openai.com,172.66.0.243,direct_insecure_host,h1,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,172.66.0.243,resolve_pin,h1,401,1.1,172.66.0.243,0.021223,0.107841,0.107884,0
api.openai.com,172.66.0.243,direct_verified,h2,000,0,,0.000000,0.000000,0.018643,35
api.openai.com,172.66.0.243,direct_verified,h2,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,172.66.0.243,direct_insecure_host,h2,000,0,,0.000000,0.000000,0.018718,35
api.openai.com,172.66.0.243,direct_insecure_host,h2,ERR,ERR,ERR,ERR,ERR,ERR,35
api.openai.com,172.66.0.243,resolve_pin,h2,401,2,172.66.0.243,0.019438,0.110206,0.110274,0
api.openai.com,172.66.0.243,direct_verified,h3,000,0,,0.000000,0.000000,0.012278,7
api.openai.com,172.66.0.243,direct_verified,h3,ERR,ERR,ERR,ERR,ERR,ERR,7
api.openai.com,172.66.0.243,direct_insecure_host,h3,000,0,,0.000000,0.000000,0.011519,7
api.openai.com,172.66.0.243,direct_insecure_host,h3,ERR,ERR,ERR,ERR,ERR,ERR,7
api.openai.com,172.66.0.243,resolve_pin,h3,401,3,172.66.0.243,0.013071,0.165554,0.165631,0
