label,proto,n,errors,p50_s,p95_s,p99_s,min_s,avg_s,max_s,http_code_versions,remote_ips
api_chat_completions,h1,5,0,0.092384,0.151941,0.163815,0.088117,0.105903,0.166784,401/h1.1=5,162.159.140.245=5
api_chat_completions,h2,5,0,0.094995,0.101747,0.102846,0.087450,0.094139,0.103121,401/h2=5,162.159.140.245=5
api_chat_completions,h3,5,0,0.089148,0.118068,0.122722,0.087597,0.096845,0.123885,401/h3=5,162.159.140.245=5
api_models,h1,5,0,0.111910,0.127457,0.129819,0.087635,0.110675,0.130409,401/h1.1=5,162.159.140.245=5
api_models,h2,5,0,0.090157,0.181826,0.199644,0.048493,0.104793,0.204099,401/h2=5,162.159.140.245=5
api_models,h3,5,0,0.081236,0.136852,0.146730,0.042487,0.081122,0.149199,401/h3=5,162.159.140.245=5
api_realtime_sessions,h1,5,0,0.097862,0.168237,0.181472,0.093804,0.114887,0.184781,401/h1.1=5,162.159.140.245=5
api_realtime_sessions,h2,5,0,0.099197,0.106935,0.108214,0.093247,0.099759,0.108534,401/h2=5,162.159.140.245=5
api_realtime_sessions,h3,5,0,0.087425,0.149998,0.162447,0.085720,0.102528,0.165559,401/h3=5,162.159.140.245=5
api_responses,h1,5,0,0.097601,0.175734,0.190995,0.089945,0.114891,0.194810,401/h1.1=5,162.159.140.245=5
api_responses,h2,5,0,0.094513,0.156973,0.168374,0.091983,0.110137,0.171224,401/h2=5,162.159.140.245=5
api_responses,h3,5,0,0.099393,0.171129,0.185120,0.081782,0.113171,0.188618,401/h3=5,162.159.140.245=5
api_responses_compact,h1,5,0,0.118107,0.176556,0.176884,0.094287,0.132254,0.176966,401/h1.1=5,162.159.140.245=5
api_responses_compact,h2,5,0,0.127754,0.183414,0.187080,0.096689,0.135955,0.187997,401/h2=5,162.159.140.245=5
api_responses_compact,h3,5,0,0.111732,0.164915,0.173405,0.082288,0.118212,0.175528,401/h3=5,162.159.140.245=5
api_responses_input_tokens,h1,5,0,0.128620,0.183291,0.187222,0.102712,0.138016,0.188205,401/h1.1=5,162.159.140.245=5
api_responses_input_tokens,h2,5,0,0.108401,0.706502,0.819528,0.093569,0.258963,0.847785,401/h2=5,162.159.140.245=5
api_responses_input_tokens,h3,5,0,0.101811,0.794223,0.924781,0.096466,0.278723,0.957420,401/h3=5,162.159.140.245=5
chatgpt_codex_models,h1,5,0,0.067204,0.078157,0.079450,0.063877,0.069530,0.079773,401/h1.1=5,172.64.155.209=5
chatgpt_codex_models,h2,5,0,0.069540,0.077404,0.078182,0.064071,0.070701,0.078376,401/h2=5,172.64.155.209=5
chatgpt_codex_models,h3,5,0,0.062667,0.148551,0.165433,0.056834,0.082274,0.169653,401/h3=5,172.64.155.209=5
chatgpt_codex_responses,h1,5,0,0.072614,0.135633,0.148215,0.066275,0.086088,0.151361,401/h1.1=5,172.64.155.209=5
chatgpt_codex_responses,h2,5,0,0.071699,0.181978,0.190867,0.061819,0.106361,0.193089,401/h2=5,172.64.155.209=5
chatgpt_codex_responses,h3,5,0,0.062658,0.136334,0.140759,0.058354,0.087436,0.141865,401/h3=5,172.64.155.209=5
openai_status,h1,5,0,0.239955,0.289758,0.299400,0.226289,0.249427,0.301810,200/h1.1=5,76.76.21.22=5
openai_status,h2,5,0,0.230415,0.336166,0.356118,0.220138,0.255515,0.361106,200/h2=5,76.76.21.22=5
openai_status,h3,0,10,,,,,,,,
